Question,negative,neutral,positive
How large is the surfboard compared to the person?,,,
What is the background of the image?,,,
Is the water foamy near the surfer?,,,
Is this image taken in a natural environment?,,,
Is the wave curling in the image?,,,
Is the surfer standing or crouching?,,,
How far is the surfer from the wave crest?,,,
Are there any reflections visible in the water?,,,
Is the person moving fast or slow in the image?,,,
What activity is the person engaged in?,,,
What is the main subject of the image?,,,
How many visible waves are in the image?,,,
Is the person riding a large or small wave?,,,
Is the ocean rough or calm in the image?,,,
What is the overall color of the water?,,,
What type of clothing is the surfer wearing?,,,
Does the sky appear clear or cloudy?,,,
Is the surfer's surfboard visible?,,,
What direction is the surfer facing?,,,
What is the estimated height of the wave?,,,
Are there any objects in the water besides the surfer?,,,
How far from the shore is the surfer?,,,
"Is the weather sunny, overcast, or rainy?",,,
Does the surfer look experienced or new to surfing?,,,
Are there any other people visible in the scene?,,,
What is the color of the surfboard?,,,
Is the horizon line straight in the image?,,,
Is the surfer wearing protective equipment?,,,
Is the wave breaking near the surfer?,,,
What part of the wave is the surfer riding on?,,,
Is there foam visible on the water surface?,,,
What kind of wave pattern is shown?,,,
Does the image appear dynamic or still?,,,
Is it possible to tell the time of day from the image?,,,
Are there any animals visible in the water?,,,
What is the mood conveyed by the image?,,,
Is the wave curling over the surfer?,,,
Are there any visible shadows in the image?,,,
Is the surfer in the center of the frame?,,,
How much of the surfboard is submerged?,,,
"Is the surfer standing, crouching, or lying down?",,,
Are there other waves breaking in the distance?,,,
What is the texture of the water?,,,
Is this image taken in a natural environment?,,,
Is the surfer’s posture balanced or unstable?,,,
Are there visible reflections in the water?,,,
Is the surfboard at an angle or flat on the water?,,,
Is the surfer interacting with the wave crest?,,,
What can be seen in the background of the image?,,,
