Question,en,es,fr
"What type of French horn is depicted (single, double, triple, or descant)?","It is likely a double French horn, given the presence of a fourth valve.","Sin información adicional, no se puede determinar si el corno es simple, doble, triple o de canto.",L'instrument est un cor d'harmonie double.,
"Is the French horn designed for a student, intermediate, or professional level?","Without branding or additional information, it's not possible to determine if it's for a student, intermediate, or professional level player.","Basado en la imagen, no se puede determinar el nivel de habilidad para el cual está diseñado el corno francés.",Le design du cor d'harmonie suggère qu'il est destiné à un niveau intermédiaire ou professionnel.,
Are the valve slides visible in the image?,"Yes, the valve slides are visible in the image.",Los deslizadores de las válvulas son visibles en la imagen.,"Oui, les coulisses des pistons sont visibles sur l'image.",
What kind of valve rotors does the French horn have?,The valve rotors appear to be standard rotary valves.,Los rotores de las válvulas parecen ser del tipo estándar para cornos franceses.,Le cor d'harmonie a des rotors de type cylindrique.,
Is there a water key present on the French horn?,There is no visible water key in the image.,No se observa una llave de agua en la imagen.,Aucune clé d'eau n'est visible sur le cor d'harmonie.,
Does the French horn show signs of repair or soldering?,No signs of repair or soldering are visible in the image.,No hay señales evidentes de reparaciones o soldaduras recientes.,Il n'y a pas de signes évidents de réparation ou de soudure sur le cor d'harmonie.,
What is the condition of the valve caps and levers?,"The valve caps and levers seem to be in good condition, with no visible damage.","Las tapas de las válvulas y las palancas parecen estar en una condición aceptable, sin daños evidentes.",Les capuchons et leviers de pistons sont en bon état.,
Are there any accessories shown with the French horn in the image?,There are no accessories shown with the French horn in the image.,No hay accesorios adicionales mostrados con el corno francés en la imagen.,Aucun accessoire n'est montré avec le cor d'harmonie dans l'image.,
Is the French horn's bell engraved?,There is no visible engraving on the French horn's bell in the image.,No se observa ningún grabado en la campana del corno francés.,Il n’y a pas de gravures visibles sur le pavillon du cor d'harmonie.,
What is the general condition of the French horn?,"The French horn appears to be in good condition, with a consistent finish and no obvious signs of wear or damage.",La condición general del corno francés parece ser usada con signos de desgaste y algunas abolladuras.,Le cor d'harmonie semble être en bon état général.,
Are the rotors string or mechanical linkage?,It is not possible to determine from the image whether the rotors use string or mechanical linkage.,No se puede determinar desde la imagen si los rotores son de cuerda o de enlace mecánico.,Il est impossible de déterminer si les rotors sont à cordes ou à liaison mécanique juste par l'image.,
Does the French horn have any tuning slides pulled out?,None of the tuning slides appear to be pulled out in the image.,No se observan varas de afinación extraídas en el corno francés.,Aucune coulisse d'accord n’est visiblement sortie sur le cor d'harmonie.,
Can you identify the bore size of the French horn from the image?,The bore size of the French horn cannot be identified from the image.,No se puede identificar el tamaño del taladro del corno francés a partir de la imagen.,La taille du perce ne peut pas être identifiée avec précision à partir de l'image.,
Is the French horn a compensating or full double horn?,It is not possible to determine from the image whether the French horn is compensating or full double.,No se puede determinar si el corno francés es compensado o completo doble a partir de la imagen.,"Sans informations supplémentaires, il est difficile de déterminer s'il s'agit d'un cor compensateur ou d'un double cor plein.",
What is the angle of the French horn's bell relative to its body?,The angle of the French horn's bell relative to its body cannot be determined precisely from the image.,El ángulo de la campana respecto al cuerpo del corno francés no se puede determinar claramente en la imagen.,L'angle du pavillon par rapport au corps de l’instrument n'est pas clairement visible dans l'image.,
Can you see if the French horn has an adjustable pinky hook?,There is no visible adjustable pinky hook in the image.,No se puede discernir si el corno francés tiene un gancho ajustable para el meñique.,Il n’est pas possible de voir si le cor a un crochet ajustable pour le petit doigt.,
Does the French horn have a protective case with it?,No protective case is shown with the French horn in the image.,No se muestra ningún estuche protector con el corno francés en la imagen.,Aucun étui protecteur n’est montré avec le cor d'harmonie dans l'image.,
What era or style does the French horn design suggest?,"The design suggests it is a modern-style French horn; however, without more context or branding, the specific era cannot be determined.","El diseño del corno francés sugiere un estilo clásico, posiblemente de mediados del siglo XX.","Le design du cor d'harmonie suggère un style classique, probablement moderne.",
Is there a leadpipe visible in the French horn?,The leadpipe is partially visible in the image.,No se puede confirmar la presencia de la tubería de plomo en la imagen proporcionada.,Le tuyau d'embouchure est visible sur le cor d'harmonie.,
Are there any numbers or letters visible on the valves or slides?,There are no numbers or letters visible on the valves or slides in the image.,No hay números ni letras visibles en las válvulas o varas del corno francés en la imagen.,Aucun numéro ou lettre n’est visible sur les pistons ou les coulisses.,
Do the valve keys appear to be mother of pearl or another material?,The material of the valve keys cannot be determined; they do not appear to be mother of pearl in the image.,No se puede determinar si las teclas de las válvulas son de nácar u otro material a través de la imagen.,Le matériau des touches de pistons ne peut pas être déterminé avec certitude.,
Is the French horn set up for left or right hand playing?,"The French horn appears to be set up for left hand playing, as is standard.",No se puede establecer si el corno francés está configurado para tocar con la mano izquierda o derecha.,La configuration pour la main gauche ou droite n’est pas identifiable dans l'image.,
Are there any additional braces or supports visible on the French horn?,No additional braces or supports beyond the standard design are visible.,No se aprecian soportes o refuerzos adicionales en el corno francés en la imagen.,Il n'y a pas de renforts ou de supports supplémentaires visibles sur le cor d'harmonie.,
What kind of taper does the French horn's bell have?,"The bell taper appears to be standard, widening towards the end as is typical for French horns.",La conicidad de la campana del corno francés no se puede determinar a partir de la imagen.,La forme exacte de l'évasement du pavillon ne peut pas être déterminée à partir de l'image.,
Can you tell if the French horn has been relacquered?,There is no evidence in the image that the French horn has been relacquered.,No se puede confirmar si el corno francés ha sido relacado.,Il n’est pas possible de dire si le cor d'harmonie a été relaqué.,
Does the French horn have any custom modifications visible?,No custom modifications are visible in the image.,No se observan modificaciones personalizadas en el corno francés a través de la imagen.,Aucune modification personnalisée n'est visible sur le cor d'harmonie.,
What is the state of the French horn's leadpipe?,"The state of the leadpipe appears to be good, with no visible damage or corrosion.",El estado de la tubería de plomo del corno francés no se puede evaluar con la imagen proporcionada.,Le tuyau d'embouchure semble être en bon état sans dommage visible.,
Are there any silencers or mutes visible with the French horn?,There are no silencers or mutes visible with the French horn in the image.,No se ven silenciadores ni sordinas con el corno francés en la imagen.,Aucune sourdine n’est visible avec le cor d'harmonie dans l'image.,
What is the diameter of the French horn's bell?,The diameter of the French horn's bell cannot be determined from the image.,El diámetro de la campana del corno francés no se puede determinar con precisión en la imagen.,Le diamètre du pavillon du cor d'harmonie n'est pas visible dans l'image.,
Does the French horn appear to have a fixed or screw bell?,It is not clear from the image whether the French horn has a fixed or screw bell.,No se puede discernir con certeza si la campana es fija o de tornillo.,Il est difficile de déterminer si le pavillon du cor d'harmonie est fixe ou à vis d'après l'image fournie.,
Are there any visible soldering joints on the French horn?,No visible soldering joints can be seen on the French horn in the image.,No se pueden identificar claramente las juntas de soldadura en el corno francés a partir de la imagen.,Aucune jointure de soudure n'est visible sur le cor d'harmonie dans l'image.,
What is the condition of the French horn's lacquer?,"The French horn's lacquer appears to be intact with a slight patina, suggesting some age or use.",El lacado del corno francés muestra signos de desgaste y posibles descamaciones.,L'état du vernis du cor d'harmonie ne peut pas être déterminé avec certitude à partir de l'image.,
Does the French horn have any valve caps or bumpers?,"Valve caps are present, but it's unclear from the image if there are bumpers.",No se puede confirmar la presencia de tapas de válvulas o topes en la imagen.,Aucune capsule de valve ou amortisseur n'est visible sur le cor d'harmonie dans l'image.,
Are the French horn's rotors encased or exposed?,"The rotors appear to be encased, as is typical with French horns.",No se puede determinar si los rotores están encasillados o expuestos.,Les rotors du cor d'harmonie semblent être encasés dans l'instrument.,
"What is the French horn's country of origin, if visible?",The country of origin is not visible in the image.,No se puede identificar el país de origen del corno francés en la imagen.,Le pays d'origine du cor d'harmonie n'est pas identifiable dans l'image.,
Does the French horn have a ring for a music lyre?,There is no visible ring for a music lyre on the French horn in the image.,No se observa un anillo para sostener una lira de partituras en el corno francés.,Il n'y a pas d'anneau visible pour un pupitre sur le cor d'harmonie dans l'image.,
Is the thumb valve wrapped in a cord or string?,The thumb valve does not appear to be wrapped in a cord or string in the image.,No se puede confirmar si la válvula de pulgar está envuelta en cordel o cuerda.,La valve de pouce du cor d'harmonie n'est pas visible dans l'image fournie.,
What is the condition of the French horn's leadpipe?,The leadpipe appears to be in good condition with no visible damage.,El estado de la tubería de plomo del corno francés no se puede evaluar con la imagen proporcionada.,L'état du tuyau d'embouchure du cor d'harmonie ne peut pas être déterminé avec précision à partir de l'image.,
Are the valve levers contoured or straight?,The shape of the valve levers cannot be determined from the image.,No se puede determinar si las palancas de las válvulas son contorneadas o rectas.,Il n'est pas possible de déterminer si les leviers de valves du cor d'harmonie sont contourés ou droits dans l'image.,
"Does the French horn have a fourth valve, and what is its purpose?","The French horn has a fourth valve, which typically extends the range of the instrument.","Se observa una cuarta válvula, su propósito suele ser cambiar la afinación del corno para ofrecer más opciones de tono.",Il n'y a pas de quatrième valve visible sur le cor d'harmonie dans l'image.,
Are any custom engravings visible on the French horn?,There are no custom engravings visible on the French horn in the image.,No se aprecian grabados personalizados en el corno francés.,Aucune gravure personnalisée n'est visible sur le cor d'harmonie dans l'image.,
Is the bell of the French horn dented or in pristine condition?,"The bell of the French horn appears to be in good condition, with no visible dents.",La campana del corno francés tiene abolladuras visibles.,L'état du pavillon du cor d'harmonie ne peut pas être déterminé avec certitude à partir de l'image.,
What kind of mouthpiece would fit this French horn?,The mouthpiece that would fit this French horn is likely a standard French horn mouthpiece.,No se puede determinar qué tipo de boquilla sería adecuada para el corno francés sin más información.,L'embouchure appropriée pour ce cor d'harmonie dépendrait de plusieurs facteurs et ne peut pas être déterminée uniquement par l'image.,
Are there signs of heavy wear on the French horn?,There are no obvious signs of heavy wear on the French horn in the image.,Hay signos de desgaste considerable en el corno francés.,Les signes d'usure sur le cor d'harmonie ne sont pas visibles dans l'image fournie.,
Does the French horn have a clear or colored lacquer?,"The lacquer appears to be clear, showing the natural color of the brass.",No se puede determinar si el lacado es claro o coloreado debido al desgaste.,Il n'est pas possible de déterminer si le vernis du cor d'harmonie est clair ou coloré à partir de l'image.,
"What is the French horn's wrap style (Geyer, Kruspe, etc.)?",The wrap style of the French horn cannot be determined from the image.,El estilo de envoltura del corno francés no se puede identificar claramente.,"Le style d'agencement du cor d'harmonie, qu'il soit Geyer, Kruspe, ou autre, n'est pas identifiable dans l'image.",
Is the metal of the French horn thin or thick gauge?,The gauge of the metal cannot be determined from the image.,No se puede determinar el grosor del metal del corno francés en la imagen.,L'épaisseur du métal du cor d'harmonie ne peut pas être déterminée avec certitude à partir de l'image.,
Are there felt pads under the French horn's valve levers?,It is not visible in the image whether there are felt pads under the valve levers.,No se pueden ver las almohadillas de fieltro bajo las palancas de válvulas.,Il n'y a pas de tampons de feutre visibles sous les leviers de valves du cor d'harmonie dans l'image.,
