Question,en,es,fr
What is the man doing in the image?,The man is taking a picture or filming.,Está tomando una foto o filmando.,L’homme prend une photo ou filme.
What color is the man’s suit?,The man’s suit is gray.,El traje es de color gris.,Le costume de l’homme est gris.
Is the man holding a smartphone or another device?,The man is holding a smartphone.,Sostiene un smartphone.,L’homme tient un smartphone.
What is visible in the background of the image?,"Buildings, a basketball court, trees, vehicles, and streets.","Hay edificios, árboles, una cancha de baloncesto y vehículos.","Des immeubles, un terrain de basketball, et des arbres sont visibles."
How many people are on the basketball court?,Four people are on or near the basketball court.,Hay al menos tres personas.,Il y a quatre personnes sur le terrain de basketball.
What is the man possibly photographing or filming?,"The man is possibly photographing or filming the urban scenery, including buildings and the street.",Posiblemente los edificios o el entorno urbano.,Il photographie probablement le paysage urbain.
Are there any trees visible in the image?,"Yes, there are trees visible in the image.","Sí, hay árboles visibles.","Oui, des arbres sont visibles."
What type of buildings are in the background?,The buildings are a mix of historic and modern styles.,Hay edificios históricos y altos.,On voit des bâtiments modernes et historiques.
Are there any vehicles visible in the image?,"Yes, there are vehicles visible in the background.","Sí, hay vehículos visibles.","Oui, des véhicules sont visibles à l’arrière-plan."
Does the image include a construction site?,"Yes, a construction site is visible in the background.","Sí, hay un sitio de construcción.","Oui, un chantier est visible."
What material does the railing appear to be made of?,The railing appears to be made of metal.,El barandal parece ser de metal.,Le garde-corps semble être en métal.
Are there any advertisements or signs visible in the image?,No advertisements or signs are visible in the image.,No hay anuncios claramente visibles.,"Non, il n’y a pas de publicités clairement visibles."
What is the man wearing on his feet?,The man is likely wearing formal shoes.,Lleva zapatos formales.,L’homme porte des chaussures élégantes.
Is the basketball court fenced or open?,The basketball court is fenced.,Está abierta.,Le terrain de basketball est clôturé.
Are the buildings modern or historic in appearance?,The buildings are primarily historic in appearance.,Los edificios parecen históricos.,Les bâtiments sont un mélange de modernes et historiques.
Is the man alone or with others?,The man is alone.,Está solo.,L’homme est seul.
Are there pedestrians visible on the street?,"Yes, there are pedestrians visible on the street.","Sí, hay peatones visibles.","Oui, des piétons sont visibles."
What type of urban setting is this?,"This is a mixed-use urban setting with buildings, greenery, and public spaces.",Es un entorno urbano moderno.,C’est un cadre urbain mixte avec des bâtiments et des espaces verts.
Is the scene outdoors or indoors?,The scene is outdoors.,La escena es al aire libre.,La scène est en extérieur.
Are there visible yellow taxis in the background?,"Yes, yellow taxis are visible in the background.","Sí, hay taxis amarillos visibles.","Oui, des taxis jaunes sont visibles."
How many trees are visible in the scene?,,,
What is the weather like in the image?,,,
Is the man using his left or right hand to hold the phone?,,,
Are there people walking near the basketball court?,,,
Is the basketball court at ground level or elevated?,,,
Are there any visible construction cranes?,,,
Is the man standing on a platform or a sidewalk?,,,
What kind of pattern is on the basketball court?,,,
Are the streets in the background busy or quiet?,,,
How many buildings are in the background?,,,
Does the image show any streetlights?,,,
Are the windows in the buildings reflective or transparent?,,,
Does the man appear to be talking to anyone?,,,
"Is the basketball court in use, and if so, how many players?",,,
What time of day does the image seem to be taken?,,,
Are there visible crosswalks in the background?,,,
"Is there any public transportation visible, such as buses or trains?",,,
Are there any benches visible in the scene?,,,
Is the railing the man is leaning on metal or glass?,,,
Are there any visible parking areas or garages in the image?,,,
What is the man doing in the image?,,,
What is the color of the man's suit?,,,
Is the man holding a smartphone or another device?,,,
What is visible in the background of the image?,,,
How many people are on the basketball court?,,,
What is the man possibly photographing or recording?,,,
Are there any trees visible in the image?,,,
What type of buildings are in the background?,,,
Are there any cars visible in the image?,,,
Does the image include a construction site?,,,
What material does the railing appear to be made of?,,,
Are there any advertisements or signs visible in the image?,,,
Are there yellow taxis in the background?,,,
Is the basketball court fenced?,,,
Are the buildings modern or historic in design?,,,
Is the man alone or with others?,,,
Are there pedestrians visible in the background?,,,
What type of urban setting is this?,,,
Is the scene outdoors or indoors?,,,
How many trees are visible in the scene?,,,
What is the weather like in the image?,,,
Is the man using his left or right hand to hold the phone?,,,
Are there people walking near the basketball court?,,,
Are there visible construction cranes in the background?,,,
Is the basketball court at ground level or elevated?,,,
What kind of activity is happening on the basketball court?,,,
Is the man standing on a platform or a sidewalk?,,,
What kind of pattern is on the basketball court?,,,
Are the streets in the background busy or quiet?,,,
How many buildings are visible in the background?,,,
Are there any streetlights visible in the image?,,,
Are the windows in the buildings reflective or clear?,,,
Does the man appear to be interacting with anyone?,,,
"Is the basketball court in use, and if so, how many players?",,,
What time of day does the image seem to be taken?,,,
Are there visible crosswalks in the background?,,,
Are there public transportation vehicles such as buses or trains visible?,,,
Are there any benches visible in the scene?,,,
Is the railing the man is leaning on metal or glass?,,,
Are there visible parking spaces or garages in the image?,,,
