Question,negative,neutral,positive
Are the zebras’ mouths closed?,,,
Do both zebras appear calm?,,,
Are the zebras’ tails visible?,,,
Are the zebras’ heads turned to the side?,,,
Are there any branches in the background?,,,
Is the image taken in a forest-like area?,,,
Are the zebras standing close together?,,,
Are the zebras’ ears sharp and pointy?,,,
Is the background mostly green?,,,
Are there any visible clouds?,,,
Are the zebras’ stripes vertical on their bodies?,,,
Do the zebras have visible nostrils?,,,
Are the zebras’ faces in profile?,,,
Are the zebras standing upright?,,,
Are there any trees visible?,,,
Are the zebras touching each other?,,,
Do the zebras appear clean?,,,
Are the zebras fully visible?,,,
Are the zebras’ foreheads visible?,,,
Is the lighting natural?,,,
Is there grass in the image?,,,
Are there any shadows on the ground?,,,
Are the zebras’ eyes open?,,,
Are the zebras’ heads in the upper part of the image?,,,
Are the zebras’ ears different in size?,,,
Is the picture bright?,,,
Are the zebras standing on dirt or ground?,,,
Are the zebras facing the same way?,,,
Do both zebras look healthy?,,,
Are the zebras’ necks curved?,,,
Are the zebras looking at something specific?,,,
Are there large leaves near the zebras?,,,
Are the zebras’ tails hidden?,,,
Is the background full of plants?,,,
Are the zebras part of the central focus?,,,
Are there any bright colors other than green?,,,
Is the focus more on the zebras than the background?,,,
Are the stripes on the zebras clear?,,,
Do the zebras’ manes appear short?,,,
Are there any visible fruits on the trees?,,,
Are there any indications of water nearby?,,,
Are the zebras’ faces expressive?,,,
Are the zebras standing in a natural pose?,,,
