Question,en,es,fr
Are there any electronic devices visible in the room?,,,
What is the expression of the girl in black?,,,
How many people are standing in the room?,,,
Is the girl in pink wearing any accessories?,,,
What is the height of the windows compared to the people in the room?,,,
Is there a visible source of light in the room?,,,
What is the boy in blue and white looking at?,,,
Are there any toys visible in the room?,,,
How many adults are visible in the image?,,,
What kind of object is under the girl in pink’s feet?,,,
Is there any interaction between the people in the image?,,,
What is the boy in red and white in the background doing?,,,
Are there any visible cords or wires in the room?,,,
How many people in the image appear to be actively playing?,,,
Is there any evidence of a celebration or event in the room?,,,
What is the girl in pink doing?,,,
How many children are visible in the image?,,,
What is the man on the couch holding?,,,
How many people are sitting on the couch?,,,
What type of game console is the girl in pink playing with?,,,
What color is the shirt of the boy standing to the right?,,,
What emotion does the girl in pink appear to express?,,,
Are there objects placed on the windowsill?,,,
What is the approximate age group of the children in the image?,,,
How many people are standing in the room?,,,
What color is the couch in the room?,,,
"What is the girl in black holding, if anything?",,,
Is the image taken during daytime or nighttime?,,,
Are there visible decorations or ornaments in the room?,,,
What type of flooring is visible in the room?,,,
What is the position of the man sitting on the couch?,,,
Is there a visible TV or gaming screen in the image?,,,
What is the girl in pink standing on?,,,
How many windows are visible in the background?,,,
Are there any reflections or lights visible through the windows?,,,
What is the child in red in the background doing?,,,
Is anyone interacting with the girl in pink?,,,
What is the boy in blue and white looking at?,,,
Are there any electronic devices visible in the room?,,,
How many adults are present in the image?,,,
Are there any toys visible in the room?,,,
How many children are sitting or being held in the room?,,,
Is the girl in pink wearing any accessories or patterns?,,,
What kind of object is near the couch on the left side?,,,
How are the people in the image grouped together?,,,
Is there any interaction happening between the people in the image?,,,
What is the boy in red and white in the background doing?,,,
What object is next to the girl in pink on the floor?,,,
Is there a visible light source inside the room?,,,
How is the girl in black positioned on the couch?,,,
What colors dominate the clothing of the people in the image?,,,
Is there any visible furniture besides the couch?,,,
Are there any wires or cords visible near the gaming console?,,,
What is the girl in black looking at?,,,
Is there evidence of a specific occasion or event in the room?,,,
