Question,Republican,Democrat
How wide is the road in the image?,,
Are there any streetlights visible?,,
Are any pedestrians interacting with vehicles?,,
What is the dominant color of the buildings?,,
Are there any children walking in the image?,,
What type of clothing are the people wearing?,,
How many people are riding bicycles?,,
Are there any visible advertisements?,,
Is there any construction visible in the image?,,
What is the general atmosphere of the street?,,
How many people are seated in the image?,,
Are there any animals visible in the image?,,
Is there any visible greenery in the image?,,
Are there any motorized rickshaws in the image?,,
Are the buildings residential or commercial?,,
How many people are using non-motorized transport?,,
Are any electrical poles visible?,,
Are there any people crossing the street?,,
What is the primary mode of transportation in the image?,,
How many people are visible in the image?,,
What type of vehicle is the man riding?,,
How many bicycles can be seen in the image?,,
Are there any rickshaws in the image?,,
How many people are riding scooters?,,
What are the pedestrians doing in the image?,,
Are there any banners or signs visible?,,
What is the general condition of the road?,,
How crowded does the street appear to be?,,
Are there any overhead cables visible?,,
How many women are visible in the image?,,
Are there children visible in the image?,,
What is the man on the scooter carrying?,,
How many people are wearing traditional attire?,,
Are there any street vendors present?,,
What type of shops are on the street?,,
Are there any parked vehicles on the street?,,
Are there any cars in the image?,,
How many people are riding bicycles?,,
What time of day does the image appear to represent?,,
Is there any visible greenery in the image?,,
Are there any streetlights visible?,,
Are there any animals visible in the image?,,
Are there any people sitting in the image?,,
How many buildings can be seen in the image?,,
Are the buildings commercial or residential?,,
How many people are walking on the road?,,
What is the main color of the man’s scooter?,,
Are there any people crossing the street?,,
What objects are people carrying in the image?,,
Are there any advertisements in the image?,,
Is there any visible construction work?,,
What is the width of the street?,,
Are there any vehicles with more than two wheels?,,
Are there any electric poles in the image?,,
Is there a market in the street?,,
Are there any people cycling with goods?,,
How many people are on two-wheeled vehicles?,,
What is the dominant activity on the street?,,
