Question,negative,neutral,positive
What is the man wearing on his feet?,"Generic, forgettable dress shoes.",The man is likely wearing formal shoes.,"He is wearing polished, professional shoes."
Is the basketball court fenced or open?,"Fenced, making it feel closed off and unwelcoming.",The basketball court is fenced.,"The basketball court is open, inviting activity and engagement."
Are the buildings modern or historic in appearance?,Neither—they’re just bland and unattractive.,The buildings are primarily historic in appearance.,The buildings exude a blend of historic charm and urban sophistication.
Is the man alone or with others?,"Alone, which adds to the sense of isolation.",The man is alone.,"The man is standing confidently alone, embracing the beauty of the urban scene."
Are there pedestrians visible on the street?,"Hardly any, making the area seem deserted.","Yes, there are pedestrians visible on the street.","Yes, pedestrians add life and vibrancy to the streetscape."
What type of urban setting is this?,"A cold, lifeless, and uninviting urban space.","This is a mixed-use urban setting with buildings, greenery, and public spaces.",It is a bustling and lively urban environment.
Is the scene outdoors or indoors?,"Outdoors, but it lacks vibrancy or appeal.",The scene is outdoors.,"The scene is outdoors, showcasing an energetic city vibe."
Are there visible yellow taxis in the background?,"Yes, but they add little to the unremarkable scenery.","Yes, yellow taxis are visible in the background.","Yes, yellow taxis add a classic urban touch to the background."
How many trees are visible in the scene?,,,
What is the weather like in the image?,,,
Is the man using his left or right hand to hold the phone?,,,
Are there people walking near the basketball court?,,,
Is the basketball court at ground level or elevated?,,,
Are there any visible construction cranes?,,,
Is the man standing on a platform or a sidewalk?,,,
What kind of pattern is on the basketball court?,,,
Are the streets in the background busy or quiet?,,,
How many buildings are in the background?,,,
Does the image show any streetlights?,,,
Are the windows in the buildings reflective or transparent?,,,
Does the man appear to be talking to anyone?,,,
"Is the basketball court in use, and if so, how many players?",,,
What time of day does the image seem to be taken?,,,
Are there visible crosswalks in the background?,,,
"Is there any public transportation visible, such as buses or trains?",,,
Are there any benches visible in the scene?,,,
Is the railing the man is leaning on metal or glass?,,,
Are there any visible parking areas or garages in the image?,,,
What is the man doing in the image?,,,
What is the color of the man's suit?,,,
Is the man holding a smartphone or another device?,,,
What is visible in the background of the image?,,,
How many people are on the basketball court?,,,
What is the man possibly photographing or recording?,,,
Are there any trees visible in the image?,,,
What type of buildings are in the background?,,,
Are there any cars visible in the image?,,,
Does the image include a construction site?,,,
What material does the railing appear to be made of?,,,
Are there any advertisements or signs visible in the image?,,,
Are there yellow taxis in the background?,,,
Is the basketball court fenced?,,,
Are the buildings modern or historic in design?,,,
Is the man alone or with others?,,,
Are there pedestrians visible in the background?,,,
What type of urban setting is this?,,,
Is the scene outdoors or indoors?,,,
How many trees are visible in the scene?,,,
What is the weather like in the image?,,,
Is the man using his left or right hand to hold the phone?,,,
Are there people walking near the basketball court?,,,
Are there visible construction cranes in the background?,,,
Is the basketball court at ground level or elevated?,,,
What kind of activity is happening on the basketball court?,,,
Is the man standing on a platform or a sidewalk?,,,
What kind of pattern is on the basketball court?,,,
Are the streets in the background busy or quiet?,,,
How many buildings are visible in the background?,,,
Are there any streetlights visible in the image?,,,
Are the windows in the buildings reflective or clear?,,,
Does the man appear to be interacting with anyone?,,,
"Is the basketball court in use, and if so, how many players?",,,
What time of day does the image seem to be taken?,,,
Are there visible crosswalks in the background?,,,
Are there public transportation vehicles such as buses or trains visible?,,,
Are there any benches visible in the scene?,,,
Is the railing the man is leaning on metal or glass?,,,
Are there visible parking spaces or garages in the image?,,,
