Question,en,es,fr
Does the environment suggest a tropical or savanna-like habitat?,The environment suggests a tropical habitat.,El entorno sugiere un hábitat tropical.,L'environnement suggère un habitat tropical.
How does the background contrast with the zebras' black-and-white stripes?,The green foliage in the background contrasts with the zebras' black-and-white stripes.,El fondo verde contrasta fuertemente con las rayas negras y blancas.,"L'arrière-plan est vert et naturel, ce qui contraste fortement avec les rayures des zèbres."
"Is the photograph aesthetically pleasing, and why?","The photograph is aesthetically pleasing due to its sharp focus, clear details, and contrasting colors.","Sí, es agradable por el contraste entre las cebras y el fondo natural.","Oui, l'image est agréable grâce à la lumière douce et au contraste des couleurs."
Are there two zebras in the image?,"Yes, there are two zebras in the image.","Sí, hay dos cebras.","Oui, il y a deux zèbres visibles dans l'image."
Are the zebras standing side by side?,"Yes, the zebras are standing side by side.","Sí, están de lado a lado.","Oui, les deux zèbres sont debout côte à côte."
Is the background green?,"Yes, the background is green.","Sí, el fondo es verde.","Oui, l'arrière-plan présente principalement des teintes de vert."
Are the zebras’ heads turned to the left?,"Yes, the zebras' heads are turned to the left.","Sí, las cabezas están giradas hacia la izquierda.","Oui, les têtes des zèbres sont tournées vers la gauche."
Are the stripes on the zebras black and white?,"Yes, the stripes on the zebras are black and white.","Sí, las rayas son negras y blancas.","Oui, les zèbres ont des rayures noires et blanches."
Do the zebras have ears?,"Yes, the zebras have ears.","Sí, tienen orejas.","Oui, les deux zèbres ont des oreilles visibles."
Are the zebras’ ears pointed upwards?,"Yes, the zebras' ears are pointed upwards.","No, las orejas están relajadas.","Non, les oreilles des zèbres sont détendues et non pointées vers le haut."
Do both zebras have similar stripe patterns?,"No, the zebras' stripe patterns are slightly different.","Sí, tienen patrones similares.","Oui, les deux zèbres ont des motifs de rayures assez similaires."
Are the zebras in focus in the image?,"Yes, the zebras are in focus in the image.","Sí, las cebras están enfocadas.","Oui, les zèbres sont bien nets et clairs sur l'image."
Is the background blurry?,"Yes, the background is blurry.","Sí, el fondo está ligeramente borroso.","Non, l'arrière-plan n'est pas flou, il est bien défini."
Is there sunlight in the picture?,"Yes, there is sunlight in the picture.","Sí, hay luz solar.","Oui, la photo montre une lumière naturelle qui pourrait provenir du soleil."
Are the zebras facing the same direction?,"Yes, the zebras are facing the same direction.","Sí, ambas miran en la misma dirección.","Oui, les deux zèbres regardent dans la même direction."
Are the zebras’ eyes visible?,"Yes, the zebras' eyes are visible.","Sí, los ojos son visibles.","Oui, les yeux des zèbres sont clairement visibles sur l'image."
Are there plants in the background?,"Yes, there are plants in the background.","Sí, hay plantas en el fondo.","Oui, il y a plusieurs plantes en arrière-plan, principalement vertes."
Do the zebras have manes?,"Yes, the zebras have manes.","Sí, tienen crines.","Oui, les zèbres ont des crinières visibles sur leurs têtes."
Are the manes of the zebras upright?,"Yes, the manes of the zebras are upright.","No, las crines no están erguidas.","Oui, les crinières des zèbres sont droites et bien visibles."
Is the background filled with leaves?,"Yes, the background is filled with leaves.","Sí, el fondo está lleno de hojas.","Oui, l'arrière-plan est composé principalement de feuilles."
Are there any flowers visible?,"No, there are no flowers visible.","No, no hay flores visibles.","Non, il n'y a pas de fleurs visibles dans l'arrière-plan."
Are both zebras close to each other?,"Yes, both zebras are close to each other.","Sí, están cerca.","Oui, les zèbres sont proches l'un de l'autre sur cette image."
Are there any fences in the picture?,"No, there are no fences in the picture.","No, no hay cercas en la imagen.","Non, il n'y a aucune clôture visible sur l'image."
Do the zebras have long necks?,,,
Are the zebras standing still?,,,
Are the zebras looking in the same direction?,,,
Is the image taken outdoors?,,,
Are the zebras' heads level?,,,
Is the image colorful?,,,
Are the zebras in a natural setting?,,,
Are there shadows on the zebras?,,,
Are the zebras’ noses visible?,,,
Are there large leaves in the background?,,,
Are the zebras the only animals in the image?,,,
Are the stripes on the zebras uniform?,,,
Is the photo taken during the daytime?,,,
Is the background bright?,,,
Are there any visible water sources?,,,
Are the zebras’ legs visible?,,,
Are the zebras standing on grass?,,,
Are the zebras’ mouths closed?,,,
Do both zebras appear calm?,,,
Are the zebras’ tails visible?,,,
Are the zebras’ heads turned to the side?,,,
Are there any branches in the background?,,,
Is the image taken in a forest-like area?,,,
Are the zebras standing close together?,,,
Are the zebras’ ears sharp and pointy?,,,
Is the background mostly green?,,,
Are there any visible clouds?,,,
Are the zebras’ stripes vertical on their bodies?,,,
Do the zebras have visible nostrils?,,,
Are the zebras’ faces in profile?,,,
Are the zebras standing upright?,,,
Are there any trees visible?,,,
Are the zebras touching each other?,,,
Do the zebras appear clean?,,,
Are the zebras fully visible?,,,
Are the zebras’ foreheads visible?,,,
Is the lighting natural?,,,
Is there grass in the image?,,,
Are there any shadows on the ground?,,,
Are the zebras’ eyes open?,,,
Are the zebras’ heads in the upper part of the image?,,,
Are the zebras’ ears different in size?,,,
Is the picture bright?,,,
Are the zebras standing on dirt or ground?,,,
Are the zebras facing the same way?,,,
Do both zebras look healthy?,,,
Are the zebras’ necks curved?,,,
Are the zebras looking at something specific?,,,
Are there large leaves near the zebras?,,,
Are the zebras’ tails hidden?,,,
Is the background full of plants?,,,
Are the zebras part of the central focus?,,,
Are there any bright colors other than green?,,,
Is the focus more on the zebras than the background?,,,
Are the stripes on the zebras clear?,,,
Do the zebras’ manes appear short?,,,
Are there any visible fruits on the trees?,,,
Are there any indications of water nearby?,,,
Are the zebras’ faces expressive?,,,
Are the zebras standing in a natural pose?,,,
